Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Desarmes por 90m,Intercept por 90m,Bolas zeradas po 90m,Bloqueios por 90m,Duelos no chão por 90m,Duelos aereos por 90m,Versatilidade defensiva,Desarmes sucesso %,Impacto de Posse,Segurança Defensiva,Passes por 90m,Quebra de linha por 90m,Condução por 90m,Condução ao ataque por 90m,Assistencias por 90m,Conduções que geraram assistencia por 90m,Eficacia com a bola,Gols por 90m,Chutes por 90m,Chutes ao gol por 90m,Grandes chances perdidas por 90m,Gols por Assistência
Ollie Watkins,Aston Villa,England,FWD,38,2610,16,8,84,17,0.14,27,2,16,784,286,241,84%,13,4,31%,162,131,0.81,2,144,83,2,0,12,4,37,50,4,14,6,1,10,116,53,46%,16,5,31%,0,0,0,29,2,0,0,0%,0,0,0,0,0.0,0.3448275862068965,0.2068965517241379,0.4827586206896551,0.0344827586206896,4.0,0.5517241379310345,7.25,0.2564102564102564,0.74,0.74,9.862068965517242,0.0689655172413793,4.965517241379311,2.862068965517241,0.2758620689655172,3.137931034482759,0.74,0.5517241379310345,2.896551724137931,0.5862068965517241,0.9310344827586208,2.0
Yoane Wissa,Brentford,DR Congo,FWD,35,2927,19,0,90,13,0.07,17,1,14,1020,1933,1662,86%,28,4,14%,637,472,0.74,24,380,180,0,2,6,10,145,35,5,19,23,16,22,290,169,58%,42,24,57%,0,0,0,34,5,0,0,0%,0,0,0,0,0.0,0.676460539801845,0.7072087461564742,0.5842159207379569,0.491971301674069,8.916979842842501,1.2914246668944311,6.904761904761905,0.3928571428571428,4.142857142857143,4.142857142857143,59.436282883498464,0.7379569525111036,11.68431841475914,5.534677143833276,0.0,5.534677143833276,4.142857142857143,0.5842159207379569,2.767338571916638,0.3997266826101811,0.5227195080286983,
Adam Armstrong,Everton,England,FWD,20,1252,2,2,26,9,0.08,5,1,9,405,269,225,84%,14,3,21%,111,85,0.77,0,95,42,0,1,5,3,23,18,1,8,3,1,12,72,23,32%,14,5,36%,0,0,0,12,4,0,0,0%,0,0,0,0,0.0,0.8626198083067093,0.2156549520766773,0.5750798722044728,0.0718849840255591,5.175718849840256,1.0063897763578271,5.142857142857143,0.5,1.2777777777777777,1.2777777777777777,19.3370607028754,0.0,6.829073482428115,3.0191693290734825,0.1437699680511182,3.1629392971246006,1.2777777777777777,0.1437699680511182,1.8690095846645367,0.646964856230032,0.3594249201277955,1.0
Beto,Everton,Guinea-Bissau,FWD,30,1528,8,0,49,7,0.07,12,2,16,601,955,767,80%,48,9,19%,345,251,0.73,11,313,156,1,1,11,10,92,37,1,24,6,4,14,203,97,48%,43,19,44%,0,0,0,33,2,0,0,0%,0,0,0,0,0.0,0.8246073298429318,0.3534031413612565,1.413612565445026,0.2356020942408377,11.956806282722514,2.532722513089005,4.72093023255814,0.2978723404255319,2.4864864864864864,2.4864864864864864,56.25,0.6479057591623036,18.43586387434555,9.18848167539267,0.0,9.18848167539267,2.4864864864864864,0.4712041884816754,2.886125654450262,0.4123036649214659,0.706806282722513,
Dominic Calvert-Lewin,Everton,England,FWD,26,1613,3,1,50,26,0.15,16,1,27,596,353,252,71%,4,1,25%,150,100,0.67,3,157,74,0,1,12,5,38,33,3,23,1,9,9,198,71,36%,107,46,43%,0,0,0,27,2,0,0,0%,0,0,0,0,0.0,0.5021698698078115,0.0557966522008679,1.2833230006199627,0.5021698698078115,11.047737135771854,5.97024178549287,1.8504672897196264,0.25,1.1515151515151516,1.1515151515151516,19.696218226906385,0.1673899566026038,8.760074395536268,4.128952262864228,0.0557966522008679,4.1847489150650965,1.1515151515151516,0.1673899566026038,2.789832610043397,1.4507129572225663,0.8927464352138871,3.0
Rodrigo Muniz,Fulham,Brazil,FWD,31,951,8,1,39,12,0.06,5,0,3,371,999,820,82%,23,6,26%,363,272,0.75,8,260,126,0,1,8,13,182,24,0,14,30,11,10,231,106,46%,51,22,43%,0,0,0,11,1,0,0,0%,0,0,0,0,0.0,0.946372239747634,2.839116719242902,1.3249211356466877,1.0410094637223974,21.861198738170344,4.826498422712934,4.529411764705882,0.4761904761904761,7.583333333333333,7.583333333333333,94.54258675078864,0.7570977917981072,24.60567823343849,11.92429022082019,0.0946372239747634,12.018927444794953,7.583333333333333,0.7570977917981072,3.690851735015773,1.135646687697161,0.473186119873817,8.0
Alexander Isak,Newcastle United,Sweden,FWD,34,2769,23,0,99,14,0.13,18,3,20,1131,1424,1242,87%,20,2,10%,517,435,0.84,6,237,132,1,1,9,2,148,55,3,17,22,6,12,303,151,50%,54,19,35%,0,0,0,27,1,0,0,0%,0,0,0,0,0.0,0.390032502708559,0.7150595882990249,0.5525460455037919,0.1950162513542795,9.848320693391116,1.7551462621885157,5.611111111111111,0.3076923076923077,2.690909090909091,2.690909090909091,46.28385698808234,0.1950162513542795,7.703141928494041,4.290357529794149,0.0,4.290357529794149,2.690909090909091,0.7475622968580715,3.217768147345612,0.4550379198266522,0.5850487540628386,
