,Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Desarmes por 90m,Intercept por 90m,Bolas zeradas po 90m,Bloqueios por 90m,Duelos no chão por 90m,Duelos aereos por 90m,Versatilidade defensiva,Desarmes sucesso %,Impacto de Posse,Segurança Defensiva,Passes por 90m,Quebra de linha por 90m,Condução por 90m,Condução ao ataque por 90m,Assistencias por 90m,Conduções que geraram assistencia por 90m,Eficacia com a bola,Gols por 90m,Chutes por 90m,Chutes ao gol por 90m,Grandes chances perdidas por 90m,Gols por Assistência
208,Jarrad Branthwaite,Everton,England,DEF,30,2510,0,1,10,37,15%,2,0,1,1558,700,554,79%,60,10,17%,334,234,70%,7,370,214,5,4,40,20,129,4,8,188,16,4,36,329,136,41%,60,12,20%,0,0,0,12,4,0,0,0%,0,0,0,0,0.0,1.290836653386454,0.5737051792828686,6.7410358565737045,0.1434262948207171,11.796812749003983,2.151394422310757,5.483333333333333,0.75,32.25,32.25,25.099601593625497,0.250996015936255,13.266932270916335,7.673306772908366,0.0358565737051792,7.709163346613545,32.25,0.0,0.3585657370517928,1.3266932270916334,0.0717131474103585,0.0
397,Fabian Schär,Newcastle United,Switzerland,DEF,34,2937,4,0,40,12,14%,4,2,4,2360,515,410,80%,12,3,25%,174,121,70%,7,226,119,1,0,11,7,79,6,10,133,12,6,36,286,116,41%,55,18,33%,0,0,0,35,9,1,0,0%,0,0,0,0,0.0,1.1031664964249233,0.3677221654749745,4.0755873340143,0.1838610827374872,8.764044943820226,1.6853932584269664,5.2,0.5070422535211268,13.166666666666666,13.166666666666666,15.78140960163432,0.2145045965270684,6.925434116445352,3.646578140960164,0.0,3.646578140960164,13.166666666666666,0.1225740551583248,1.2257405515832482,0.3677221654749745,0.1225740551583248,
469,Aaron Wan-Bissaka,West Ham United,England,DEF,36,3154,2,5,16,5,13%,1,0,5,2388,1503,1244,83%,76,16,21%,499,382,77%,5,413,251,1,1,4,12,174,22,5,111,66,11,70,259,160,62%,56,23,41%,0,0,1,25,1,0,0,0%,0,0,0,0,0.0,1.9974635383639825,1.8833227647431832,3.167406467977172,0.3138871274571972,7.390615091946735,1.5979708306911855,4.625,0.7368421052631579,7.909090909090909,7.909090909090909,42.88839568801522,0.1426759670259987,11.785034876347495,7.162333544705136,0.1426759670259987,7.305009511731135,7.909090909090909,0.0570703868103994,0.4565630944831959,0.1426759670259987,0.0285351934051997,0.4
504,Emmanuel Agbadou,Wolverhampton Wanderers,Cote D’Ivoire,DEF,16,1411,1,0,7,20,11%,0,0,1,1201,1778,1489,84%,45,9,20%,670,499,75%,14,415,181,0,1,8,16,156,4,4,89,13,7,30,293,144,49%,48,15,31%,0,0,0,7,3,0,0,0%,0,0,0,0,0.0,1.913536498936924,0.8291991495393338,5.676824946846208,0.4464918497519489,18.688873139617293,3.0616583982990786,6.104166666666667,0.8108108108108109,39.0,39.0,113.40892983699504,0.8929836995038979,26.47058823529412,11.545003543586107,0.0,11.545003543586107,39.0,0.0637845499645641,0.4464918497519489,1.2756909992912828,0.0,
523,Santiago Bueno,Wolverhampton Wanderers,Uruguay,DEF,29,1682,0,0,6,3,0%,0,1,0,1046,1195,1077,90%,18,7,39%,325,278,86%,1,292,144,0,0,4,4,109,2,4,70,28,7,41,212,102,48%,44,19,43%,0,0,0,26,2,0,0,0%,0,0,0,0,0.0,2.1938168846611177,1.4982164090368608,3.745541022592152,0.3745541022592152,11.343638525564804,2.3543400713436387,4.818181818181818,0.6119402985074627,54.5,54.5,63.941736028537456,0.0535077288941736,15.624256837098692,7.7051129607609985,0.0,7.7051129607609985,54.5,0.0,0.3210463733650416,0.1605231866825208,0.0,
526,Toti Gomes,Wolverhampton Wanderers,Portugal,DEF,31,2615,0,0,7,8,7%,1,0,4,2110,1616,1256,78%,93,23,25%,673,470,70%,12,350,190,1,1,11,11,132,15,8,147,31,9,61,197,98,50%,16,3,19%,0,0,0,24,7,0,0,0%,0,2,0,0,0.0,2.0994263862332696,1.066921606118547,5.059273422562142,0.3097514340344168,6.780114722753346,0.5506692160611855,12.3125,0.7176470588235294,8.8,8.8,55.61759082217973,0.4130019120458891,12.045889101338432,6.539196940726578,0.0,6.539196940726578,8.8,0.0,0.2409177820267686,0.2753346080305927,0.034416826003824,
