,Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Desarmes por 90m,Intercept por 90m,Bolas zeradas po 90m,Bloqueios por 90m,Duelos no chão por 90m,Duelos aereos por 90m,Versatilidade defensiva,Desarmes sucesso %,Impacto de Posse,Segurança Defensiva,Passes por 90m,Quebra de linha por 90m,Condução por 90m,Condução ao ataque por 90m,Assistencias por 90m,Conduções que geraram assistencia por 90m,Eficacia com a bola,Gols por 90m,Chutes por 90m,Chutes ao gol por 90m,Grandes chances perdidas por 90m,Gols por Assistência
43,Marcus Rashford,Aston Villa,England,MID,25,1426,6,3,35,17,5%,5,4,8,706,792,636,80%,52,16,31%,410,323,79%,5,323,177,1,1,16,13,119,7,2,9,5,3,17,227,99,44%,59,26,44%,0,0,0,9,2,0,0,0%,0,0,0,0,0.0,1.072931276297335,0.3155680224403927,0.5680224403927069,0.1893408134642356,14.32678821879383,3.723702664796634,3.847457627118644,0.6538461538461539,17.0,17.0,49.98597475455821,0.3155680224403927,20.38569424964937,11.1711079943899,0.1893408134642356,11.360448807854135,17.0,0.3786816269284712,2.208976157082749,1.072931276297335,0.3155680224403927,2.0
79,Tyler Adams,Bournemouth,United States,MID,28,1965,0,3,9,9,7%,2,0,0,1393,586,494,84%,19,3,16%,227,173,76%,8,313,177,1,0,16,11,80,12,4,37,8,5,83,267,129,48%,35,10,29%,0,0,0,45,7,0,0,0%,0,0,0,0,0.0,3.801526717557252,0.366412213740458,1.6946564885496185,0.2290076335877862,12.229007633587786,1.6030534351145038,7.628571428571429,0.6484375,6.666666666666667,6.666666666666667,26.83969465648855,0.366412213740458,14.33587786259542,8.106870229007633,0.1374045801526717,8.244274809160306,6.666666666666667,0.0,0.4122137404580153,0.4122137404580153,0.0916030534351145,0.0
134,Simon Adingra,Brighton & Hove Albion,Cote D’Ivoire,MID,29,1091,2,2,33,26,12%,4,1,4,592,833,700,84%,40,9,23%,433,354,82%,4,342,174,2,7,29,19,85,12,0,6,5,0,23,175,74,42%,18,6,33%,0,0,0,13,0,0,0,0%,0,0,0,0,0.0,1.8973418881759847,0.4124656278643446,0.4949587534372135,0.0,14.43629697525206,1.4848762603116406,9.72222222222222,0.6388888888888888,7.083333333333333,7.083333333333333,68.71677360219981,0.3299725022914757,28.21264894592117,14.353803849679192,0.1649862511457378,14.51879010082493,7.083333333333333,0.1649862511457378,2.722273143904675,2.1448212648945923,0.3299725022914757,1.0
167,Adam Wharton,Crystal Palace,England,MID,20,1326,0,2,13,5,0%,0,0,0,913,679,534,79%,18,5,28%,245,168,69%,5,145,75,0,0,1,4,102,13,0,27,20,2,34,116,57,49%,23,7,30%,0,0,0,12,2,0,0,0%,0,0,0,0,0.0,2.3076923076923075,1.3574660633484164,1.832579185520362,0.1357466063348416,7.873303167420814,1.5610859728506787,5.043478260869565,0.7391304347826086,7.846153846153846,7.846153846153846,46.08597285067873,0.3393665158371041,9.84162895927602,5.090497737556561,0.1357466063348416,5.226244343891403,7.846153846153846,0.0,0.8823529411764706,0.3393665158371041,0.0,0.0
241,Sasa Lukic,Fulham,Serbia,MID,30,2355,0,2,18,21,2%,2,0,0,1546,763,666,87%,70,16,23%,485,411,85%,5,471,256,0,5,28,25,79,8,0,32,6,2,68,206,103,50%,3,1,33%,0,0,0,66,12,0,0,0%,0,0,0,0,0.0,2.5987261146496814,0.2292993630573248,1.2229299363057324,0.0764331210191082,7.872611464968152,0.1146496815286624,68.66666666666667,0.5074626865671642,9.875,9.875,29.159235668789808,0.1910828025477706,18.0,9.78343949044586,0.0764331210191082,9.859872611464969,9.875,0.0,0.6878980891719745,0.8025477707006369,0.0764331210191082,0.0
284,Harry Winks,Leicester City,England,MID,22,1540,0,2,10,21,14%,0,0,0,1194,548,450,82%,47,14,30%,290,227,78%,5,278,157,5,0,29,10,55,8,0,18,6,2,24,140,61,44%,22,7,32%,0,0,0,9,4,0,0,0%,0,0,0,0,0.0,1.4025974025974026,0.3506493506493506,1.051948051948052,0.1168831168831168,8.181818181818182,1.2857142857142856,6.363636363636363,0.7272727272727273,6.875,6.875,32.02597402597403,0.2922077922077922,16.246753246753247,9.175324675324676,0.1168831168831168,9.292207792207792,6.875,0.0,0.5844155844155845,1.2272727272727273,0.0,0.0
