Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Desarmes por 90m,Intercept por 90m,Bolas zeradas po 90m,Bloqueios por 90m,Duelos no chão por 90m,Duelos aereos por 90m,Versatilidade defensiva,Desarmes sucesso %,Impacto de Posse,Segurança Defensiva,Passes por 90m,Quebra de linha por 90m,Condução por 90m,Condução ao ataque por 90m,Assistencias por 90m,Conduções que geraram assistencia por 90m,Eficacia com a bola,Gols por 90m,Chutes por 90m,Chutes ao gol por 90m,Grandes chances perdidas por 90m,Gols por Assistência
Ollie Watkins,Aston Villa,England,FWD,38,2610,16,8,84,17,0.14,27,2,16,784,286,241,84%,13,4,31%,162,131,81%,2,144,83,2,0,12,4,37,50,4,14,6,1,10,116,53,46%,16,5,31%,0,0,0,29,2,0,0,0%,0,0,0,0,0.0,0.3448275862068965,0.2068965517241379,0.4827586206896551,0.0344827586206896,4.0,0.5517241379310345,7.25,0.2564102564102564,0.74,0.74,9.862068965517242,0.0689655172413793,4.965517241379311,2.862068965517241,0.2758620689655172,3.137931034482759,0.74,0.5517241379310345,2.896551724137931,0.5862068965517241,0.9310344827586208,2.0
Dominic Calvert-Lewin,Everton,England,FWD,26,1613,3,1,50,26,0.15,16,1,27,596,353,252,71%,4,1,25%,150,100,67%,3,157,74,0,1,12,5,38,33,3,23,1,9,9,198,71,36%,107,46,43%,0,0,0,27,2,0,0,0%,0,0,0,0,0.0,0.5021698698078115,0.0557966522008679,1.2833230006199627,0.5021698698078115,11.047737135771854,5.97024178549287,1.8504672897196264,0.25,1.1515151515151516,1.1515151515151516,19.696218226906385,0.1673899566026038,8.760074395536268,4.128952262864228,0.0557966522008679,4.1847489150650965,1.1515151515151516,0.1673899566026038,2.789832610043397,1.4507129572225663,0.8927464352138871,3.0
Rodrigo Muniz,Fulham,Brazil,FWD,31,951,8,1,39,12,0.06,5,0,3,371,999,820,82%,23,6,26%,363,272,75%,8,260,126,0,1,8,13,182,24,0,14,30,11,10,231,106,46%,51,22,43%,0,0,0,11,1,0,0,0%,0,0,0,0,0.0,0.946372239747634,2.839116719242902,1.3249211356466877,1.0410094637223974,21.861198738170344,4.826498422712934,4.529411764705882,0.4761904761904761,7.583333333333333,7.583333333333333,94.54258675078864,0.7570977917981072,24.60567823343849,11.92429022082019,0.0946372239747634,12.018927444794953,7.583333333333333,0.7570977917981072,3.690851735015773,1.135646687697161,0.473186119873817,8.0
